test,set,lab_id,file_id,substrate,bottle_id,mass_inoc,mass_sub,c_vs_sub_m,c_vs_sub_f,c_vs_inoc,ISR
1,1.3,E21,45,Wheat straw,329,150.1,3.27,0.8845,0.872,0.03947,2.078
1,1.3,E21,45,Wheat straw,330,150.1,3.29,0.8845,0.872,0.03947,2.065
1,1.3,E22,56,Blank,738,500,0,,,0.09217,
1,1.3,E22,56,Blank,739,500,0,,,0.09217,
1,1.3,E22,56,Blank,740,500,0,,,0.09217,
1,1.3,E22,56,Cellulose,728,500,23.43,0.9874,0.989,0.09217,1.989
1,1.3,E22,56,Cellulose,729,500,23.41,0.9874,0.989,0.09217,1.991
1,1.3,E22,56,Cellulose,730,500,23.47,0.9874,0.989,0.09217,1.985
1,1.3,E22,56,Rabbit feed,731,500,28.37,0.8128,0.803,0.09217,2.023
1,1.3,E22,56,Rabbit feed,732,500,28.38,0.8128,0.803,0.09217,2.022
1,1.3,E22,56,Rabbit feed,741,500,28.37,0.8128,0.803,0.09217,2.023
1,1.3,E22,56,Sunflower seeds,735,500,25.19,0.914,0.915,0.09217,1.999
1,1.3,E22,56,Sunflower seeds,736,500,25.18,0.914,0.915,0.09217,2
1,1.3,E22,56,Sunflower seeds,737,500,25.2,0.914,0.915,0.09217,1.999
1,1.3,E22,56,Wheat straw,727,500,2.57,0.8822,0.872,0.09217,20.56
1,1.3,E22,56,Wheat straw,733,500,26.17,0.8822,0.872,0.09217,2.02
1,1.3,E22,56,Wheat straw,734,500,26.19,0.8822,0.872,0.09217,2.018
1,1.3,E23,122,Blank,421,751,,,,0.04266,
1,1.3,E23,122,Blank,422,758.1,,,,0.04266,
1,1.3,E23,122,Blank,423,751.9,,,,0.04266,
1,1.3,E23,122,Cellulose,424,750.7,15.8,0.9947,0.989,0.04266,2.05
1,1.3,E23,122,Cellulose,425,750.4,16,0.9947,0.989,0.04266,2.023
1,1.3,E23,122,Cellulose,426,751.5,16.3,0.9947,0.989,0.04266,1.989
1,1.3,E23,122,Rabbit feed,418,750.2,20.5,0.8016,0.803,0.04266,1.944
